question,answer,image_id
what colour is the wall,white,image547
how many windows are there,2,image1317
what is on the wall,picture,image452
what color is the light above the door at the end of the room,pink,image275
what is near the door,hoola_hoop,image425
what is found under the table,toy_bin,image1161
what is on table,vase,image266
what is the largest object,stove,image141
how many white chairs are there around the dinner table,8,image1428
what is there behind the television,remote_control,image1005
what is behind the chair,lamp,image265
what is in front of the left side night stand,garbage_bin,image924
what is on the floor,bottle_of_liquid,image405
what is on the right side of the tap,tissue_roll,image847
how many chairs are there,2,image1215
what is in front of the sofa,table,image1231
what is near to the window,treadmill,image349
how many posters are there,2,image1172
what is the colour of the bed sheet,pink,image937
how many draw handle displayed,2,image741
what is to the left,drawer,image497
what is on the right side of the toilet,curtain,image499
what is in front of the wall,board,image460
what is the object on the floor right of the screen,bathtub,image501
what is the big white object in the right side,ironing_board,image492
what is near the bookshelf,light_switch,image484
what is in front of the window,ornamental_plant,image817
what is on the right side of the baskets,books,image419
how many gloves are stuck to the refridgerator,3,image866
what is behind the chair,window,image888
what is behind the table,refridgerator,image415
what is stuck on the wall,photo,image1359
how many people reflection are visible,2,image500
what is on the left side,speaker,image1063
what are the things on the table,"lamp, toy, pen_stand, notebook",image1161
what is the object to which the jackets are hung,hangers,image116
what is above the sofa,picture,image1266
how many racks are there on the left side,5,image880
what is on the left side of books,mouse,image545
what is present in the desk,shelves,image1043
what is present on the floor near the room divider on its right,garbage_bin,image1025
what is the object close to the ceiling above the table,projector,image20
how many lights are there,4,image461
what are the things on the cabinet,"toy, decorative_item",image1342
what is the object close to the tissue box,tissue,image1036
what is above the sink,toiletries,image648
what is on the left side of the crib,carton,image398
what is the object close to the wall,television,image643
what is the largest object,bed,image1105
what is the blue colour object found near the left sink,cup,image868
what are the objects on the table,"picture, lamp, flower_pot",image1427
what is on the bed,pillow,image909
what is the third tray handle colour,green,image737
what are the white objects are there on the bed,"comforter, pillow",image71
what are the objects found behind the sofa,"game_table, chair",image1246
what is present above the picture on the wall,window,image1030
what is on the right side of the stove,oil_container,image755
what is the object on the floor in front of the wall,table,image922
how many doors are there,2,image798
what is right of shelf,television,image254
what is the object in front of the stove on the counter,bottle,image138
what is on the left side of the other television,curtain,image981
what is the object close to the wall behind the table,heater,image1312
what is the object on the floor below the table,chair,image864
what is at the centre of the chairs,table,image1363
what is above the television,dvd_player,image1221
what is placed on the table,"telephone, stand",image600
what is on the night stand,"lamp, picture",image978
what is colour of bed sheets,white,image217
what is the colour of the object on the television,pink,image1113
what is to the right of the computer table,chair,image309
what is on the ceiling on the top of the table,chandelier,image1406
what is the colour of the flowers,"yellow, red",image805
what is on the left side of the night stand,garbage_bin,image909
what object is found behind the vase,window,image818
what is at the left side of the bed,cabinet,image1060
what is on the sofa,pillow,image1327
how many towels are hanged,4,image654
what is the object next to the tv stand,table,image1132
what is beneath the stove table,dishwasher,image826
what object is found to the left side of the faucet,bottle_of_hand_wash_liquid,image891
how many chairs are,3,image269
what is the object on the candle stand on the bathtub,candle,image736
what is beneath the table,drawer,image497
what is on the right side of the bottle of liquid,sink,image705
how many chairs are visible,1,image479
how many chairs are there,2,image797
what is on the left side of the 3 tier round table,window,image548
how many chairs are there,2,image629
what is the largest object,pool_table,image426
what is found behind the table,stairs,image1363
how many black armchairs are there next to the white wall,1,image51
what is on the right most side on the drawer table,"decorative_platter, bottle",image547
what is the largest object,sofa,image50
what is the object close to the refrigerator,magnet,image831
what is to the left of painting,lamp,image55
what is on the wall,picture,image374
what is in front of table,sofa,image270
how many drawers are there,6,image827
what is the colour of the carpet,"black, white",image1271
what is the object in front of the screen,toilet,image667
what is on the left side of the chair,paper,image596
how many remote control,2,image379
what are the things on the rack,"photo, tissue_box, toy",image1416
how many pictures are above the dark brown couch on the right side of the bookshelf,2,image51
what is suspended from the ceiling,light,image830
how many chairs are there,2,image608
what is placed on the shelf,vase,image589
what is at the end on the stove table,ornamental_plant,image791
what is in the shelf in the night stand,"book, tissue_box",image541
what is on the cloth on the table,cordless_phone,image1043
how many racks are there in the bookshelf,6,image979
what is in the center of the table,"garbage_bin, box",image112
how many mirrors are on the wall,1,image1405
what is the colour of towel,brown,image705
what is on the left side of the microwave,door,image752
what is right of table,shelves,image291
how many faucet handles are there,2,image682
what is the object on the floor in front of the wall,toilet,image497
what is on sofa,pillow,image255
what are the objects on the bed,"pillow, blanket",image1036
what is above the table,chandelier,image1406
what is the object on the floor behind the room divider,bathtub,image696
what are the objects found around the table,chair,image900
what is found on the top of the refridgerator,storage_rack,image884
what is in front of the ornamental plant,cream_tube,image716
what color is the wall behind the projector screen,black,image7
what is leaning against the wall on the right side,ironing_board,image492
how many slippers are there,3,image72
what are the objects in the shelf,book,image51
what is on the wall in between the shelves,picture,image623
what is on the wall,picture,image883
what is the cobalt object on the floor and next to the table,garbage_bin,image22
what objects are found in the right of the bed,"toy_doll, toy_dog, lamp",image920
what is on the right side of the tap,cup,image721
what is the colour of the object on the right side chair,purple,image1426
what is on the right side of the paper,container,image627
what are the objects on the bed,"pillow, blanket",image541
who is behind the table,person,image228
what is below the chair,shoe,image161
how many blue chairs are there around the round table,4,image322
what is in between the racks,picture,image1376
which objects are in this room to show the countries,"map, globe",image309
what is the black object,"table, sofa",image1312
what is above the bed,window,image527
how many shelves are visible,4,image799
what is the round object on the second right white cabinet,clock,image13
what is to the right of the cabinet,fireplace,image1238
what is the object hung close to the door knob,bag,image150
what is right next to the bed,lamp,image916
what is on the table,lamp,image1426
what are stuck on the wall,"photo, decorative_item",image1326
which colour is more,red,image318
what are the colours of the furnitures,"brown, gray",image1253
what is to the right of the sofa,hand_weight,image348
what is in front of the bed,television,image985
what are the objects inside the door,"cabinet, toy",image1122
what is in front of the tissue roll,towel,image790
what is hung on the wall in the right side,wall_decoration,image1016
what is stuck to the sink,toilet_paper_holder,image653
what is at top of the table,tissue_box,image157
how many blackboards are,3,image122
what is stuck on the wall,photo,image1358
what is the object below the shelf frame,toilet,image44
what is right of chair,sofa,image269
what is above the bed,blinds,image1105
what is stuck on the wall which is to the right side of the refridgerator,photo,image815
what is hanged inside the wardrobe,shirts_in_hanger,image162
what is on the night stand,"lamp, book",image916
how many pictures are there,3,image1382
what is inside the tv stand,dvd_player,image147
what is on the wall,clothing_hanger,image586
what is on the floor,bag,image646
what is on the table,decorative_item,image626
what is the object on the counter close to the side wall,printer,image25
what are the objects on the counter,"hot_water_heater, microwave, bowl, bread, spoon",image139
how many switch boards stuck on the wall,2,image831
what is the object to the right side of the sink,bowl,image898
what is found at the left side,knife_rack,image898
how many yellow colour fruits are there,5,image747
what is the object on the post case,notecards,image99
what is present to the right side of the books,lamp,image1037
what is above the sink,bottle_of_soap,image408
what is the object that is placed right of the wall and left of the tall cabinet,garbage_bin,image12
what is right of toilet,book_holder,image704
what is on the right side of the monitor,speaker,image554
what are the objects on the shelves,"toy, photo",image1065
what is on the floor,box,image377
what is the colour of sofa,white,image237
what is the object on the floor in front of the cabinet,garbage_bin,image877
what is in front of bed,shelves,image527
name a few things that are in the rack,"bottle, container, bottle_of_liquid",image577
what is the colour of the stool,blue,image756
what is beneath the black table,"stool, stool",image52
how many drawer knobs are there,10,image1159
what is on the table,"book, paper, decorative_item",image1357
what is the object on the floor in front of the wall,cabinet,image540
what is the colour of the bed sheet,blue,image1172
what objects are on the table,"tissue_box, book",image1274
how many chairs can you see,3,image757
what is the largest object,refridgerator,image807
how many cupboards are,3,image12
what is in between sofas,lamp,image379
how many chairs are there,1,image988
what is in front of the wash basin,mirror,image499
what are the colours of the chairs,"red, blue",image1381
what is present on the wall in the left side,light_switch,image1009
what is beneath the stove,drawer,image796
what is on the table,"ashtray, bowl",image1238
what is on the right side of the wall,door,image484
what is the object close to the wall in front of the pillar,shelf_frame,image96
what is behind the lamps,wall,image1232
what is on the table,decorative_item,image1321
what is the colour of the table,black,image1312
what is at the top left corner,window,image1221
what is the largest object,bed,image81
what is the object on the hangers,jacket,image95
what is to the left of the shelf rack,plastic_tray,image337
what is colour of the tree,green,image306
what is above the table,light_bulb,image275
what color is the chandelier hanging from the ceiling,black,image245
what is to the right of the book rack,door,image1073
what is on the wall,picture,image1026
what is the light green colour object found in the kitchen utensils,cutting_board,image868
what is the object below the window,heater,image138
what is to the right of the fireplace,cabinet,image1240
how many lamp domes are there,3,image1246
what is the colour of the table,brown,image227
what is on the right side of the decorative item,bookshelf,image1324
how many blinds are there,2,image1120
what is the object close to the towel rod,towel,image659
what are the objects found before the window,"table, cabinet",image1324
what is the object above the shelves close to the wall,blackboard,image124
what is on the stand,cup,image100
what color is the blanket on the mattress,brown,image82
what is on the right side of the window,picture,image589
what is to the left side of the bed,lamp,image1111
how many pillows found,5,image1214
how many plant pots are there,2,image1300
what is the colour of the chair,red,image1361
what is the object kept on the floor close to the shelves,stool,image102
what is behind the monitor,ornamental_plant,image608
what is behind the wall,door,image165
what is on the bed,pillow,image58
how many girls are,5,image318
what object is right of the television,piano,image979
what is the colour of the table cloth,white,image1357
what is in front of toilet,door,image722
what is the object behind the screen,bathtub,image667
what is the object close to the wall in the shelf,microwave,image829
what is right of door,shelves,image715
what is the white colour object on the left side,table,image1309
what is the largest object,shelves,image233
what is on the right side of the bottle,"knife_rack, knife",image853
what are hanged on the sofa,blanket,image1222
what is to left of sink,bottle,image720
how many sofas are there,3,image1272
what is the big black object next to the books,television,image1251
what is at the corner of the window,printer,image614
what is found below the photos,sofa,image1318
how many pockets are in one section,14,image10
what is to the left of the sofa,excercise_machine,image1318
what is on the right side,cabinet,image1322
what object is found in between the storage rack and the cabinet,oven,image819
what is the colour of the racket,black,image642
what is on the right side of the sink,bottle_of_liquid,image702
what object is found to the left side of the dishwasher,garbage_bin,image826
how many chairs are there,4,image864
what is on the wall on the left side of the room,whiteboard,image275
what is under the chair,garbage_bin,image1056
what is to the right side of the sofa,cabinet,image1142
what is stuck on the wall,photo,image1333
what is found below the photo,table,image1420
how many ornamental plants are there,3,image461
what is on the left side of the bed,night_stand,image1025
what is the object on the floor close to the wall corner,lamp,image149
what is found in front of the window,sink,image848
what is on the right most side on the table,lamp,image614
what is amidst the chairs,table,image1404
what is the red colour object on the bed,pillow,image978
what is beneath the desk,garbage_bin,image370
what is there in front of the screen,chair,image8
what is behind the blinds,window,image1000
how many chairs are there,6,image748
what is the colour of the sofa,black,image487
what is the object close to the wall,clock,image94
what is the big object in the left side of the big black dresser,dresser,image530
what is to the right of the table,display_case,image1370
what is placed on the shelf,pillow,image238
what object is found in left side,television,image1122
what is to the right of the chair,bookrack,image322
how many lamps are there,2,image1137
what are the objects on the shelves,books,image111
how many pillows are there on corner of the camel couch,1,image50
what is the large white object next to the white wall on the small table,printer,image24
what is on the right side of the bed,curtain,image534
how many photo frames are there,2,image66
what is in front of the window,table,image1344
what are are the objects close to the counter,"sink, faucet",image848
what are the objects close to the counter,"sink, faucet",image143
what is in front of the fireplace,books,image1322
what is behind the sofa,column,image1333
what is the object below the counter,cabinet,image905
what is on the shelf,bowl,image246
what is near the game table,baby_chair,image424
what is on the wall,curtain,image527
what is the object close to the wall left of the faucet,sink,image903
what is in front of the blinds,foosball_table,image438
what are the objects on the shelf frame,"hair_brush, toothbrush, makeup_brush, face_wash_cream, bottle_of_liquid",image45
what is in front of the container,paper,image872
what is on the right side of the printer,whiteboard,image438
what is on the left side of the stand,tissue_roll,image873
how many objects on the side of the wall,5,image692
what is above the board,picture,image290
how many lights on the ceiling,4,image1382
what is on the table,"cup, bag",image415
how many pillows found on the bed in white colour,2,image951
what is on the right side of the picture,blinds,image740
what is on the left side of the bed,lamp,image1006
what is on the shelf,decorative_item,image1341
what is the below the blackboard on the table,plant,image122
what is the object close to the wall above the table,television,image643
what is behind the chair,curtain,image1405
what is behind the sofa,shelves,image229
what is in the rack,show_piece,image1377
what is found in front of the wall,"table, chair",image887
how many small pillows are on the bed,3,image938
what is at the corner of the wall,box,image451
what is on the right side of the night stand,door,image978
what is on the left side of the knife rack,paper,image755
what is the object close to the wall above the bathtub,soap,image692
what is the colour of the toy,"yellow, blue, red",image440
what is above the table,chandelier,image756
what is on the left side of the sink,bar_of_soap,image665
what color is the coffee table in front of the sofa,brown,image588
how many chairs are there,4,image864
how many pillows are there,4,image963
what is in front of the stove,sink,image251
what is the object found on the left side of the towel rod,glass,image675
how many racks in shelves,5,image739
what is found to the left side of the window,storage_rack,image806
what is the colour of the lamp,"white, red",image982
what is present on the left corner of the room,storage_rack,image1046
what object is,chair,image403
how many steps are,3,image96
how many small drawers are there,3,image1043
what is the object under the table,garbage_bin,image1137
how many glass box are visible,3,image159
what is present on top of the desk,desk_mat,image1043
what is on the bed,"pillow, comforter",image1085
what is in front of the chair,bag,image393
how many chairs are there,7,image1341
what is on the right side of the television,kitchen_utensil,image877
what is behind the computer,shelves,image213
what are the objects on the table,"lamp, tray, decoration_item",image1358
what is stuck on the wall on the left side,television,image1112
how many stairs are on the right side of the stair railing,2,image601
what is in front of the chair,table,image323
what is to the right of the door,computer,image485
what are the objects kept close on the shelves,books,image106
what color is the chair,red,image256
what color is the towels reflected in the mirror,blue,image170
how many drawers are in the table,10,image381
what is to the opposite side of the sofa,door_way,image1213
what is in front of the table,books,image93
how many shelves are there in the rack,7,image106
what is on the left side of the tap,bottle_of_liquid,image740
what is on top of shelf,basket,image552
how many chairs are there,6,image888
what is left of the toilet,garbage_bin,image499
how many tooth brushes are there,3,image49
how many doors are visible,2,image1406
what is on the floor,rug,image1419
what is in front of the tissue roll,glass,image897
how many pillows are there on the sofa,1,image1267
what is behind the table,candelabra,image1379
what is behind the chair,bed,image1116
what is at the left bottom,game_table,image1244
what is on the right side of the framed picture,paper_holder,image371
what is to the left of the stool,television,image146
what is kept behind the window,plant,image873
what are the objects stuck on the wall,photo,image913
what is to the right of the sofa,plant_pot,image1270
what is the object close to the floor,floor_mat,image494
what are the things on the table,"newspapers, plate",image1417
what are the things on the right,"blackboard, photo, chart_roll, paper_tray",image1169
what is above the computer,calendar,image336
what is found in front of the burner,step_stool,image884
what is in front of the chairs,game_table,image1240
what is in front if the tissue roll,paper,image795
what is on top of toilet,tissue_roll,image503
what is on the top right corner,window,image1224
what is behind the lamp,blinds,image1024
what is on the floor,floor_mat,image1237
what is on the wall,towel,image502
how many chairs are there in the room with writing flipboard attached close to it,3,image7
what is on the wall,picture,image740
what is on the left side of the gray box,fruit,image848
what is in front of the container,charger,image627
what at the top centre of the shelf,box,image313
what is stuck on the left side of the towel,roll_of_toilet_paper,image659
what is above books,window,image548
how many chairs are there,2,image630
how many cupboard handle can see,7,image795
what is on the wall,picture,image1346
what is on the sofa,"pillow, book",image50
what is on the board,papers,image415
how many chairs are,2,image236
what color is the door,white,image485
what is beneath the table,drawer,image666
what is above the wash basin,shelves,image48
what is the object on the floor in front of the window,table,image979
what is on the left side of the cable,electrical_kettle,image847
what is on the right side of the chair,book,image910
what is at the right top corner,cabinet,image1215
how many pillows are there,4,image1190
what is to the right of the lamp,alarm_clock,image217
what is right of toilet,tissue_roll,image703
what is on the wall,picture,image1015
what is attached to the drawer in the left side,drawer_knob,image1031
what is on the floor,rug,image1417
what is in front of the cupboard,stand,image110
what is on the right side of the door,television,image912
what is on the wall at top right,photo,image1245
what is to the left of bookshelf,bottle_of_liquid,image450
what is on the right side of the tap,bottle_of_hand_wash_liquid,image729
what is on the right side of the tap,"soap, soap_box",image795
what is inside the photo frame,photo,image1005
what is stuck on the wall,display_board,image809
what are the objects close to the wall,"books, magazine_holder, wall_decoration",image53
what is on the left side of the bag,"clothes, perfume",image1008
what is kept on top of the table near the bed,lamp,image1029
how many top lights on,4,image789
what are the white objects on the mattress,"blanket, pillow",image73
what is to the left of the computer table,shelves,image337
what is to the right of the photo,mirror,image1270
how many pictures are there close to the wall,2,image913
what is on the left side of the wall,refridgerator,image815
what is the object close to the counter,stove,image848
how many chairs are there,1,image986
what objects are found on the sofa,pillow,image1142
what object is hanged on the wall near the bed,photo,image956
how many lamps are there,2,image1187
what is on the window,air_conditioner,image138
how many sticky notes are there on the poster board,2,image23
what is behind the doors,wardrobe,image72
what is on the table,"desk_mat, salt_shaker, tissue",image1415
what is in the wall,picture,image292
what is the object close to the wall left of the shelf,window,image1141
what are stuck on the wall,photo,image1437
what is the object kept close on the chair,jacket,image453
what is the object in the box,fruit,image793
what is behind the chair,blinds,image828
what is to right of shelf,door,image535
what are the objects stuck close to the wall above the counter,paper,image12
what is hung on the wall above the telephone,clock,image8
what is the colour of the door,brown,image755
how many shutter windows are there,2,image920
what is on the wall on the left side of the clock,curtain,image923
what is behind the sofa,stairs,image1281
what is on the table,book,image609
what is the red object that is standing on the floor in front of the projector screen,ladder,image7
what is the largest object,bed,image989
what are the things found on the cabinet,"paper, box, photo",image1064
what is the largest object,table,image1357
what is in front of the blinds,projector_screen,image26
how many black chairs are there next to the table,2,image596
what is the colour of the curtains,red,image1007
what is on the ceiling,fan,image798
what is the colour of the wall,brown,image1120
what is on the right side of the cupboard,refridgerator,image1378
what is the colour of chair,red,image215
what is on the notice board,papers,image614
what is on the right side of the night stand,garbage_bin,image1074
what is the object on the floor in the corner,garbage_bin,image730
what is on the left side of the dishwasher,garbage_bin,image826
what is on the night stand closer to the bed,books,image73
what is in front of the bottle of liquid,cream_tube,image691
what is present near the corner of the room,window,image1024
how many photographs are there,1,image754
what is on the left side of the picture,door,image1028
what are the things,shirts_in_hanger,image116
what are the objects found on the table,"file, telephone, papers, clothes",image1141
what are stuck on the wall,photo,image1318
what is on the wall,picture,image572
what are the things on the cabinet,"books, photo",image1253
what is the large object on the white wall behind the white candles,mirror,image52
what is on the carton in front of the doll house,toy,image400
what is on the chair,pillow,image379
what is to th left of ladder,table,image109
how many white candles are there,3,image1428
what is the black object between the white wall and gray locker,garbage_bin,image12
what is the object close to the counter,sink,image883
what is in front of the sofa,fan,image647
how many candle holders are there,4,image1367
what is in front of the table,chair,image1061
what is the object on the chair,clothes,image1037
what is kept on top of the shelf,box,image1015
what is to the right of the computer,printer,image336
what is on the left side of the decorative item,door,image1236
what is on the left side table,printer,image528
what is on the left side of the microwave,towel,image827
what is below the shelf,hot_water_heater,image140
what is at the right side,cabinet,image1358
what is on the left side of the laptop,papers,image83
what is in the right,ping_pong_table,image640
what is the colour of the hat,"black, white",image94
how many drawer knobs are there,3,image674
what is left of the pillow,lamp,image980
what is in front of the table,chair,image1358
what are the objects on the shelves that is close to the wall,cup,image100
what are the objects found on the table,"vase, banana",image824
what is the colour of the table cloth,white,image1383
what are the circle shape objects on the table on the right side of the picture,box,image234
what is in front of the bottle,fish_tank,image319
what is to the right of the basket,sofa,image1266
what objects are on the cabinet,"toy, photo, book",image1055
what are the objects close to the wall,"wall_decoration, framed_certificate",image55
what is on the blinds,curtain,image1063
what object is found below the window,bed,image1105
what is to the left of the shelf,toy_house,image322
what is the colour of the sofa,blue,image1142
how many doors are there,1,image1037
what color is the ladder between the projector screen and armchairs,red,image7
what is the object close to the wall,picture,image602
how many towels are there,3,image675
what is the colour of the towel on the right side of the sink,yellow,image790
what is on the left side of the hanger,blinds,image661
what are the objects found in the utensil container,"towel, kitchen_utensils",image896
what color is the chair in front of the wall on the right side of the door behind the black chair,pink,image19
what is on the bed,pillow,image914
what is on the bed,book,image1200
what is on the comforter,pillow,image998
what is the colour of the sheets,red,image1197
what is inside the plastic tray,pen,image309
what is in front of the door and on the right of the table,chair,image5
what is the object close to the counter,stove,image905
what is on the wall,shelves,image437
what is the colour of the curtains,red,image742
what is in front of the table,chair,image929
how many chairs around the table,5,image26
what is the object above the sink,mirror,image648
what is in front of of table fan,computer,image13
what is the colour of the carpet,blue,image985
what are the objects on the bed,"pillow, jacket, bed_sheets",image540
what is the colour of the curtains,gray,image940
what is on the bed,pillow,image997
what is on the left side of the pink dolls,mirror,image1177
what is in front of shelf,bed,image542
what are the objects on the bed,"pillow, blanket, clothes, jacket",image70
how many computers are on the table,2,image309
how many monitors are there,1,image819
what is on the left side of the rack,curtain,image936
what is in the corner of the kitchen island,lamp,image122
what is the object close to the wall,wall_decoration,image467
how many sofas are there,2,image984
what is on the television stand,television,image164
what is board is found on the game table,chessboard,image1240
what is fixed in the ceiling,air_vent,image1241
what is on the left side of the kitchen rack,book,image892
what is on the wall,picture,image58
what object is found on the burner,tea_kettle,image877
what is the object close to the ceiling,light,image111
how many peices of paper are there on the white wall behind the paper rack,2,image12
what is behind the chairs,door,image1402
what is stuck on the right side of the cabinet,photo,image1161
what are the objects on the counter,"box, tissue_box, cup, bottle, plant",image123
what is the object on the floor in the corner,stool,image601
how many stools found,3,image756
what is above the night lamp,picture,image178
what is in front of the lamp on the table,paper,image66
what is beneath the curtains,air_conditioner,image80
what is on the kitchen island,microwave,image408
what is the colour of the bedding,white,image1059
what are the fruit varieties are there,"banana, apple, orange",image756
how many pictures are there close to the wall,3,image1161
what is at the right side of the cabinet,bed,image1178
what is the colour of the lamp,"black, white",image1085
what is in front of window,bed,image530
what is the colour of the chair arm,black,image798
what is on the left side of the mirror,chair,image1086
what is to the right of the bed,bookshelf,image938
what is the object in front of the wall and to the right of the rack,lamp,image52
what is found to the left of the sink,utensil_container,image885
how many pictures are there,2,image1137
how many drawers are there,4,image1374
what is on the left most side on the table,mirror,image674
what is the object on the bed,blanket,image1105
what is in front of the cabinet,sofa,image1253
what is to the right of the chair,bookshelf,image943
which object is near monkey toy,basket,image323
what is the object opposite to the television,bed,image985
what is the object on the floor in front of the wall,cabinet,image585
what is stuck on the wall to the left side of the table,photo,image879
what are the things found on the table,photo,image1190
what is on top of the bed,pillow,image1045
how many racks are there in the bookshelf,4,image964
what is in front of of the door,backpack,image150
what is on the left side of the blinds,lamp,image1269
what is the colour of the towel,white,image729
what is under the toilet,can,image45
how many windows are there,2,image920
what is placed on the table,spoon_stand,image227
what color are the cabinets,brown,image796
what is found on the ceiling,fan,image969
what is on the arm rest of the chair,remote_control,image379
what are the objects on the shelves,books,image629
how many pictures are on the wall around the television,3,image177
how many large cobalt objects are there,1,image10
what is dinning table made up of,glass,image798
what is to the left of the table,wall,image344
what is the object on the side table,photo,image146
what is on the right side of the chair,ornamental_plant,image900
what is found to the left side of the cot,window,image996
what is below the board,hooks,image313
what is behind the black sofa,fireplace,image1322
what is kept on top of the desk,desk_mat,image1041
what is above the table,mirror,image1111
what is the object on the table,clock,image923
what is on the table,"pen_stand, papers, glass, bottle",image27
what is at the bottom of the photo,stool,image1160
what bottle is on the table,coke_bottle,image157
what is lying on the floor in front of the bed,clothes,image1045
what is the largest object on the table,lamp,image986
how many drawers are there,4,image610
what is around the table,chair,image882
what is the light brown object on the left side of the cup shelf in front of the wall,ladder,image239
what is on the washing machine,clothing_detergent,image406
what is the object close to the towel rod,towel,image667
what is the object close to the wall,clothes,image957
what are the objects on the shelf,books,image626
what is the colour of the basket,gray,image8
what is beneath the table,stool,image756
what is right of sofa,typewriter,image261
what is the object close to the tissue rod,tissue,image705
how many handles are there,2,image695
how many chairs are around the dining table in this picture,7,image1352
what is the object close to the wall above the counter,mirror,image682
what is the object on the blue box,bag,image1068
what is the largest object on the table,monitor,image552
what is on the left side of the flush tank,sink,image659
how many chairs are seen,1,image886
what is on the right side of the pool table,bag,image428
what is the colour of the wall,orange,image1352
what is the object on the floor in front of the wall,sofa,image1026
what is the object that is on the left of the counter and right of the stack of chairs,whiteboard,image5
what is inbetweeng the sofa left,table,image631
what is behind the monitor that is in the centre,carton,image112
what is the light pink object next to the sink,hair_brush,image44
what is found on the cabinet,clock,image923
how many doors are there on the cupboard,4,image24
what is hung on the left most side of the rack,jacket,image72
what is on the right side of the fireplace,picture,image1323
what is beneath the television,table,image642
what is on the left side of the hot water heater,cup,image576
how many chairs are there,8,image1428
what is on the right side of the table,door,image1061
what is on the white cupbaord,doll,image1065
what is the object on the floor in front of the wall,speaker,image1063
what is the object on the floor right of the shelves,garbage_bin,image990
what is on the right side of the fan,window,image647
what is the object on the stool,lamp,image1029
what are the objects found to the right of the pillow,"lamp, table",image921
what is right to the computer,mirror,image964
what is on the left side of the monitor,telephone,image456
what is on the left most side on the table,printer,image828
how many blue objects are on the top of the cabinet but not below the tape dispenser or in the pen stand,1,image11
what is the white object that is placed close to the wall and to the left of the shelves,projector_screen,image7
what is the object found on the right side,television,image1132
what is on the right side of the bed,"night_stand, lamp",image1024
what is on the table,"book, picture",image1252
what is at the right side of the photo,cabinet,image1067
what is below the map,shelves,image308
what is near the knife stand,wine_bottle,image142
what is at the middle of the table,"books, remote_control",image1313
what is on the right side of the sofa,table,image487
what is left of computer,utensil_container,image291
what is the object found on the centre table,bottle,image863
what is on the right side of the tap,glass,image505
what is the largest dark gery object in this picture,door,image8
what is on the left side of the wall,door,image485
what are available on the steel rack,cup,image101
what is at the left side,cabinet,image1186
how many curtains are there,2,image1072
what is below the computer monitor,computer,image6
what is the yellow object close to the faucet,dish_brush,image204
how many bed are,2,image931
what are stuck on the wall,photo,image1382
what is to the right of the sink,tissue_roll,image410
what is behind the whiteboard and in front of the wall,stacked_chairs,image5
what is on top of the bed,doll,image1041
what is the table made of,stones,image346
how manu blue chair are there,8,image290
what is on the right side of the bottle of liquid,curtain,image649
what is at the corner of the shelf,bookshelf,image450
what is on the bed,"pillow, comforter",image1013
what is on the stove burner,tin_foil,image136
how many tables are there,2,image632
what is the object on the side rack,cup,image98
what is in between the table and the speakers,box,image643
what is hung on the left side top corner of the mirror,medal,image1044
what is the object left of the toilet,garbage_bin,image497
what is to the right of the second sofa,table,image1328
what is below the bed,baby_chair,image402
what is behind the bed,blinds,image534
what is in between the chairs,lamp,image1328
what are the things on the table,photo,image1191
what is on the left side of the bed,lamp,image999
what is in the shelves,"glass, container, bottle, decorative_item",image1350
what is the largest object,chair,image536
how many drawer knobs are there,10,image1403
what is above the toilet,tissue_roll,image501
how many doors are open,1,image1019
what is on the table,laptop,image258
what is the violet object next to the faucet,bottle_of_soap,image48
how many chair are,2,image586
what is in front of the air conditioner,step_stool,image138
what is the colour of the shirt teacher wearing,pink,image306
what is on the left side of the lamp,cordless_phone,image379
what is on the left side of the night stand,mirror,image982
how many pillows are there on the big couch,2,image368
what is in front of bathtub,toilet,image722
what is in front of the window,table,image1373
what is in front of computer monitor,keyboard,image6
what is the object close to the wall,picture,image1026
what is on the sofa,pillow,image488
what is on the right side rack,bottle,image102
what are the objects in the shelf,clothes,image530
how many drawer knobs are there,10,image890
what are the objects found on the floor,bowl,image889
what is found below the mirror,table,image1111
what is at the right side of the sofa,lamp,image1231
what is the object on the table in the corner,lamp,image988
what is beneath the shelf stand,carton,image494
what is behind the television,window,image1319
what is on the right side of the white box,paper,image453
what are the black objects on the tv stand,"television, dvd_player",image259
what is on the wall,bookshelf,image52
what are the objects on the chair,"clothes, jacket",image149
what is the object on the floor below the sink,cabinet,image682
what is behind the computer in the corner of the table,papers,image381
what is to the right of refridgerator,wall,image205
what are the objects on the floor,"bag, suitcase",image82
what is on the left side of the carton,television,image980
what is found near the sandal colour sofa,horse_toy,image1429
what is in the shelf,bottle,image951
what color is the soft toy on the floor on the left side of the bed,"brown, white",image1035
which object is large,sofa,image439
how many lights are switched on,2,image19
what is on the right side of the keyboard,mouse,image456
how many pictures are there,8,image1372
what color is the blind above the left bed,purple,image1042
what is on the right side of the door,window,image630
what is on table,bottle,image541
what is the colour of the door,brown,image643
what is on the wall,"light, decorative_item, picture",image1392
what is left of the kitchen,"whiteboard, poster_board",image5
what is in front of the ball,shoe,image425
what are the things on the cabinet,"lamp, book, paper",image1071
what is the colour of the table amidst the brown chairs,"white, black",image1239
what are the objects on the tall shelf in front of the wall,"book, hockey_glove, picture",image80
what is on the left side of the table,blinds,image1359
what is kept near the left corner of the bed,lamp,image1014
what are the objects on the bed,"pillow, blanket",image1014
what is the chair colour,brown,image754
how many pillows are there on the bed,6,image1110
